text,label,clean_text
IndiaÕs Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.,0,indias ministry home affairs banning citizens posting new coronavirus social media
What are the effects of COVID-19 on the lungs?,1,effects covid lungs
Use of Cloth Face Coverings to Help Slow the Spread of COVID-19,1,use cloth face coverings help slow spread covid
Public Health Recommendations for Community-Related Exposure,1,public health recommendations communityrelated exposure
"Foods with a Long Shelf Life: 9 to Buy, 6 to Avoid",1,foods long shelf life buy avoid
Coronavirus: Pangolins may have spread the disease to humans,1,coronavirus pangolins may spread disease humans
ÒSlices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation ofÓ the novel coronavirus.,0,slices lemon cup hot water save life hot lemon kill proliferation novel coronavirus
Checklist for Community and Faith Leaders,1,checklist community faith leaders
"""What the 1918 flu pandemic shows us about social distancing""",1,flu pandemic shows us social distancing
Coronavirus is infectious in the air for 8 hours and everyone must wear a face mask.,0,coronavirus infectious air hours everyone must wear face mask
Tanks are coming into U.S. towns in advance for martial law,0,tanks coming us towns advance martial law
Here’s the Smartest and Safest Way to Grocery Shop During COVID-19,1,heres smartest safest way grocery shop covid
New China Report Sets COVID-19 Death Rate at 1.4%,1,new china report sets covid death rate
"Worldwide, People Clapping for Hospital Workers",1,worldwide people clapping hospital workers
CDC on COVID-19 severe outcomes: Where do we stand?,1,cdc covid severe outcomes stand
Environmental Health Practitioners,1,environmental health practitioners
What Aircraft Maintenance Workers Need to Know about COVID-19,1,aircraft maintenance workers need know covid
"New Guidance on Early Med School Graduation Amid COVID-19, LCME Says",1,new guidance early med school graduation amid covid lcme says
"What Happens as More Police, Firefighters, and Paramedics Get Sick with COVID-19?",1,happens police firefighters paramedics get sick covid
"""WHO Director-General’s Statement on IHR Emergency Committee on Ebola Virus Disease in the Democratic Republic of the Congo""",1,directorgenerals statement ihr emergency committee ebola virus disease democratic republic congo
COVID-19 and the Science of Social Distancing,1,covid science social distancing
"If you donate blood, Òthey HAVE to test youÓ for coronavirus.",0,donate blood test coronavirus
"""World experts and funders set priorities for COVID-19 research""",1,world experts funders set priorities covid research
People on steroids for chronic illness may be more at risk of COVID-19,1,people steroids chronic illness may risk covid
Coronaviruses and heart health,1,coronaviruses heart health
Life in the 'Cabin': Two Months Fighting COVID-19 in Wuhan,1,life cabin two months fighting covid wuhan
"A meme posted offers mixed advice Ñ some true, some false Ñ about coronavirus protection.",0,meme posted offers mixed advice true false coronavirus protection
Little Known About COVID Patients' Loss of Smell,1,little known covid patients loss smell
Finding the Right Balance in COVID-19 Thromboprophylaxis,1,finding right balance covid thromboprophylaxis
"Donald Trump claims Joe Biden Òwas in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings and a 78% approval rating, the highest on record. His was lowest!Ó",0,donald trump claims joe biden charge hn swine flu epidemic killed thousands people response one worst record response one best fast action border closings approval rating highest record lowest
COVID-19: GMC Invites More Doctors Back to Work,1,covid gmc invites doctors back work
"Coronavirus Daily Digest: April 16, 2020",1,coronavirus daily digest april
Interim Operational Considerations for Public Health Management of Healthcare Workers Exposed to or Infected with COVID-19: non-US Healthcare Settings,1,interim operational considerations public health management healthcare workers exposed infected covid nonus healthcare settings
Clinicians Dodge Infection as 'Dofficer' Helps With Gear,1,clinicians dodge infection dofficer helps gear
Having a beard increases your chances of getting coronavirus.,0,beard increases chances getting coronavirus
How might climate change affect the spread of viruses?,1,might climate change affect spread viruses
Pictures and reports of Òempty hospitalsÓ prove COVID-19 spread is Òfake crisis for real government planned agendas.Ó,0,pictures reports empty hospitals prove covid spread fake crisis real government planned agendas
ICU Lessons on COVID-19 From Italian Front Line: Be Flexible,1,icu lessons covid italian front line flexible
"Whole Genome of Novel Coronavirus, 2019-nCoV, Sequenced",1,whole genome novel coronavirus ncov sequenced
Considerations When Preparing for COVID-19 in Assisted Living Facilities,1,considerations preparing covid assisted living facilities
Snapshot of CDC Guidance for Homeless and Meal Service Providers for Emergency and Day Shelters,1,snapshot cdc guidance homeless meal service providers emergency day shelters
Bloggers say the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.,0,bloggers say vatican reports pope francis tested negative coronavirus second test came back positive
Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.,0,coronavirus cause runny nose killed temperatures degrees causes lung fibrosis within days infection diagnosed holding breath seconds cured early stages drinking plenty water
President TrumpÕs use of data for deaths from swine flu and seasonal flu.,0,president trumps use data deaths swine flu seasonal flu
Financial Toxicity Is Common With Gynecologic Cancers,1,financial toxicity common gynecologic cancers
COVID-19 Hitting Some African American Communities Harder,1,covid hitting african american communities harder
Why People Under 40 Aren’t Making It a Priority to Get a Flu Shot,1,people arent making priority get flu shot
Says WisconsinÕs in-person election has caused a ÒsurgeÓ in new coronavirus cases,0,says wisconsins inperson election caused surge new coronavirus cases
Possible coronavirus drug identified,1,possible coronavirus drug identified
Contact Tracing,1,contact tracing
COVID-19: What T1 Diabetes Patients Need to Know,1,covid diabetes patients need know
ÒThe CDC can detain anyone with a fever indefinitely. Vaccination (is) a way people could get out of detention.Ó,0,cdc detain anyone fever indefinitely vaccination way people could get detention
"""WHO continues to support the fight against coronavirus in Syria""",1,continues support fight coronavirus syria
"""WHO’s COVID19 technical support to Egypt""",1,whos covid technical support egypt
First Case of COVID Spreading from a Corpse Found,1,first case covid spreading corpse found
Video tries to show coronavirus is fake and not dangerous.,0,video tries show coronavirus fake dangerous
"""WHO-China Joint Mission on Coronavirus Disease 2019 (COVID-19)""",1,whochina joint mission coronavirus disease covid
"""Yes, Wisconsin is the only state where all Republicans opposed coronavirus bill""",1,yes wisconsin state republicans opposed coronavirus bill
ÒIn ÔResident EvilÕ the Umbrella Corporation releases a virus that infects the people of Raccoon City. A biological research lab with the exact same logo as the Umbrella Corporation can be found in the city where the coronavirus outbreak originated.Ó,0,resident evil umbrella corporation releases virus infects people raccoon city biological research lab exact logo umbrella corporation found city coronavirus outbreak originated
"AHA Guidance for CPR, Emergency CV Care Amid COVID-19",1,aha guidance cpr emergency cv care amid covid
"Coronavirus Daily Digest: April 6, 2020",1,coronavirus daily digest april
"The novel coronavirus contains ÒpShuttle-SNÓ sequence, proving laboratory origin.",0,novel coronavirus contains pshuttlesn sequence proving laboratory origin
Whether microwaving face masks sanitizes them.,0,whether microwaving face masks sanitizes
Stress About COVID-19 Keeping You Awake? 6 Tips for Better Sleep,1,stress covid keeping awake tips better sleep
"""Interim Guidelines for Collecting, Handling, and Testing Clinical Specimens from Persons for Coronavirus Disease 2019 (COVID-19)""",1,interim guidelines collecting handling testing clinical specimens persons coronavirus disease covid
Why Do Some States Make It Difficult for Children to Get Flu Shots?,1,states make difficult children get flu shots
Cancer Patients Report Delays in Treatment Because of COVID-19,1,cancer patients report delays treatment covid
The Most Effective Ways to Kill Coronavirus in Your Home,1,effective ways kill coronavirus home
Why COVID-19 is Hitting Men Harder Than Women,1,covid hitting men harder women
Study: Many Seniors Were Unfazed by COVID Warnings,1,study many seniors unfazed covid warnings
