text,label
IndiaÕs Ministry of Home Affairs banning citizens from posting about the new coronavirus on social media.,0
What are the effects of COVID-19 on the lungs?,1
Use of Cloth Face Coverings to Help Slow the Spread of COVID-19,1
Public Health Recommendations for Community-Related Exposure,1
"Foods with a Long Shelf Life: 9 to Buy, 6 to Avoid",1
Coronavirus: Pangolins may have spread the disease to humans,1
ÒSlices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation ofÓ the novel coronavirus.,0
Checklist for Community and Faith Leaders,1
"""What the 1918 flu pandemic shows us about social distancing""",1
Coronavirus is infectious in the air for 8 hours and everyone must wear a face mask.,0
Tanks are coming into U.S. towns in advance for martial law,0
Here’s the Smartest and Safest Way to Grocery Shop During COVID-19,1
New China Report Sets COVID-19 Death Rate at 1.4%,1
"Worldwide, People Clapping for Hospital Workers",1
CDC on COVID-19 severe outcomes: Where do we stand?,1
Environmental Health Practitioners,1
What Aircraft Maintenance Workers Need to Know about COVID-19,1
"New Guidance on Early Med School Graduation Amid COVID-19, LCME Says",1
"What Happens as More Police, Firefighters, and Paramedics Get Sick with COVID-19?",1
"""WHO Director-General’s Statement on IHR Emergency Committee on Ebola Virus Disease in the Democratic Republic of the Congo""",1
COVID-19 and the Science of Social Distancing,1
"If you donate blood, Òthey HAVE to test youÓ for coronavirus.",0
"""World experts and funders set priorities for COVID-19 research""",1
People on steroids for chronic illness may be more at risk of COVID-19,1
Coronaviruses and heart health,1
Life in the 'Cabin': Two Months Fighting COVID-19 in Wuhan,1
"A meme posted offers mixed advice Ñ some true, some false Ñ about coronavirus protection.",0
Little Known About COVID Patients' Loss of Smell,1
Finding the Right Balance in COVID-19 Thromboprophylaxis,1
"Donald Trump claims Joe Biden Òwas in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings and a 78% approval rating, the highest on record. His was lowest!Ó",0
COVID-19: GMC Invites More Doctors Back to Work,1
"Coronavirus Daily Digest: April 16, 2020",1
Interim Operational Considerations for Public Health Management of Healthcare Workers Exposed to or Infected with COVID-19: non-US Healthcare Settings,1
Clinicians Dodge Infection as 'Dofficer' Helps With Gear,1
Having a beard increases your chances of getting coronavirus.,0
How might climate change affect the spread of viruses?,1
Pictures and reports of Òempty hospitalsÓ prove COVID-19 spread is Òfake crisis for real government planned agendas.Ó,0
ICU Lessons on COVID-19 From Italian Front Line: Be Flexible,1
"Whole Genome of Novel Coronavirus, 2019-nCoV, Sequenced",1
Considerations When Preparing for COVID-19 in Assisted Living Facilities,1
Snapshot of CDC Guidance for Homeless and Meal Service Providers for Emergency and Day Shelters,1
Bloggers say the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.,0
Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.,0
President TrumpÕs use of data for deaths from swine flu and seasonal flu.,0
Financial Toxicity Is Common With Gynecologic Cancers,1
COVID-19 Hitting Some African American Communities Harder,1
Why People Under 40 Aren’t Making It a Priority to Get a Flu Shot,1
Says WisconsinÕs in-person election has caused a ÒsurgeÓ in new coronavirus cases,0
Possible coronavirus drug identified,1
Contact Tracing,1
COVID-19: What T1 Diabetes Patients Need to Know,1
ÒThe CDC can detain anyone with a fever indefinitely. Vaccination (is) a way people could get out of detention.Ó,0
